x,y,theta,q1,q2
0.1268,-0.4873,3.6506101974625698,0.0,3.6506101974625698
0.1639,-0.5485,3.722190789569679,0.0,3.722190789569679
0.2052,-0.6069,3.793771381676788,0.0,3.793771381676788
0.2507,-0.6622,3.8653519737838975,0.0,3.8653519737838975
0.3,-0.7141,3.9369325658910066,0.0,3.9369325658910066
0.3528,-0.7623,4.008513157998116,0.0,4.008513157998116
0.409,-0.8067,4.080093750105225,0.0,4.080093750105225
0.4682,-0.8469,4.151674342212334,0.0,4.151674342212334
0.5301,-0.8827,4.223254934319443,0.0,4.223254934319443
0.5945,-0.9141,4.294835526426553,0.0,4.294835526426553
0.6609,-0.9407,4.366416118533662,0.0,4.366416118533662
0.729,-0.9626,4.437996710640771,0.0,4.437996710640771
0.7986,-0.9795,4.50957730274788,0.0,4.50957730274788
0.8691,-0.9914,4.581157894854989,0.0,4.581157894854989
0.9404,-0.9982,4.6527384869620985,0.0,4.6527384869620985
1.0119,-0.9999,4.724319079069208,0.0,4.724319079069208
1.0834,-0.9965,4.795899671176317,0.0,4.795899671176317
1.1545,-0.988,4.867480263283426,0.0,4.867480263283426
1.2247,-0.9744,4.939060855390536,0.0,4.939060855390536
1.2939,-0.9559,5.010641447497645,0.0,5.010641447497645
1.3615,-0.9324,5.082222039604754,0.0,5.082222039604754
1.4272,-0.9041,5.153802631711863,0.0,5.153802631711863
1.4908,-0.8713,5.225383223818972,0.0,5.225383223818972
1.5518,-0.8339,5.296963815926081,0.0,5.296963815926081
1.6101,-0.7923,5.36854440803319,0.0,5.36854440803319
1.6652,-0.7467,5.4401250001403,0.0,5.4401250001403
1.7169,-0.6972,5.511705592247409,0.0,5.511705592247409
1.7649,-0.6441,5.5832861843545185,0.0,5.5832861843545185
1.809,-0.5878,5.654866776461628,0.0,5.654866776461628
1.9949,0.143,0.07158059210710921,0.07158059210710921,0.0
1.9872,0.2142,0.14316118421421842,0.07158059210710921,0.07158059210710921
1.9745,0.2846,0.21474177632132763,0.07158059210710921,0.14316118421421842
1.9567,0.3539,0.28632236842843684,0.07158059210710921,0.21474177632132763
1.9341,0.4218,0.35790296053554604,0.07158059210710921,0.28632236842843684
1.9066,0.4879,0.42948355264265525,0.07158059210710921,0.35790296053554604
1.8745,0.5519,0.5010641447497645,0.07158059210710921,0.42948355264265525
1.8379,0.6134,0.5726447368568737,0.07158059210710921,0.5010641447497645
1.797,0.6721,0.6442253289639829,0.07158059210710921,0.5726447368568737
1.752,0.7277,0.7158059210710921,0.07158059210710921,0.6442253289639829
1.7031,0.78,0.7873865131782013,0.07158059210710921,0.7158059210710921
1.6507,0.8287,0.8589671052853105,0.07158059210710921,0.7873865131782013
1.5948,0.8735,0.9305476973924197,0.07158059210710921,0.8589671052853105
1.5359,0.9141,1.002128289499529,0.07158059210710921,0.9305476973924197
1.4743,0.9505,1.0737088816066382,0.07158059210710921,1.002128289499529
1.4102,0.9823,1.1452894737137473,0.07158059210710921,1.0737088816066382
1.344,1.0095,1.2168700658208564,0.07158059210710921,1.1452894737137473
1.276,1.0319,1.2884506579279655,0.07158059210710921,1.2168700658208564
1.2066,1.0494,1.360031250035075,0.07158059210710921,1.2884506579279658
1.1362,1.0618,1.4316118421421842,0.07158059210710921,1.360031250035075
1.065,1.0692,1.5031924342492933,0.07158059210710921,1.4316118421421842
0.9935,1.0715,1.5747730263564024,0.07158059210710921,1.5031924342492933
0.922,1.0687,1.646353618463512,0.07158059210710921,1.5747730263564026
0.8508,1.0607,1.717934210570621,0.07158059210710921,1.646353618463512
0.7805,1.0477,1.78951480267773,0.07158059210710921,1.717934210570621
0.7112,1.0297,1.8610953947848392,0.07158059210710921,1.78951480267773
0.6434,1.0068,1.9326759868919487,0.07158059210710921,1.8610953947848394
0.5774,0.979,2.004256578999058,0.07158059210710921,1.9326759868919487
0.5136,0.9467,2.075837171106167,0.07158059210710921,2.004256578999058
0.4522,0.9098,2.147417763213276,0.07158059210710921,2.075837171106167
0.3937,0.8687,2.2189983553203856,0.07158059210710921,2.1474177632132765
0.3382,0.8235,2.2905789474274947,0.07158059210710921,2.2189983553203856
0.2861,0.7744,2.362159539534604,0.07158059210710921,2.2905789474274947
0.2377,0.7217,2.433740131641713,0.07158059210710921,2.362159539534604
0.1931,0.6657,2.505320723748822,0.07158059210710921,2.433740131641713
0.1527,0.6067,2.5769013158559315,0.07158059210710921,2.5053207237488224
